Term,Frequency
JavaScript,109
GitHub,13
Python,78
Git,112
Node.js,12
Docker,48
React,64
Visual Studio Code,1
jQuery,21
HTML5,71
PHP,6
Java,120
Slack,5
MySQL,29
Google Analytics,1
NGINX,2
Gmail,0
npm,2
PostgreSQL,18
MongoDB,16
Postman,7
WordPress,1
Google Drive,0
TypeScript,26
Ubuntu,6
ES6,3
Stack Overflow,0
GitLab,9
Jenkins,41
Jira,17
AngularJS,10
Redis,10
CloudFlare,0
Kubernetes,40
Apache HTTP Server,0
Google Fonts,0
C#,53
Amazon S3,0
Vue.js,7
CSS 3,59
Amazon EC2,0
Trello,1
Visual Studio,10
Google Tag Manager,1
Font Awesome,0
Bitbucket,7
IntelliJ IDEA,0
Sass,7
Firebase,1
Django,6
Webpack,4
Google Maps,0
Sublime Text,0
Elasticsearch,9
React Native,3
jQuery UI,0
Ruby,16
GraphQL,7
VirtualBox,0
G Suite,3
ExpressJS,60
Redux,4
Laravel,2
Vim,0
Heroku,1
Android SDK,1
PyCharm,0
Spring Boot,17
Dropbox,1
Android Studio,0
Confluence,5
Kafka,27
AWS Lambda,5
Microsoft Azure,12
RabbitMQ,6
Mailchimp,0
ASP.NET,26
Kibana,5
Markdown,0
Docker Compose,1
Rails,10
ESLint,0
Flask,3
Notepad++,0
Amazon CloudFront,0
Ansible,14
Atom,0
Google Cloud Platform,1
New Relic,2
Xcode,0
PayPal,0
Modernizr,0
DigitalOcean,0
Yarn,0
GitHub Pages,0
Microsoft SQL Server,1
Babel,2
Swift,6
Terraform,22
SQLite,2
Skype,1
Stripe,0
Google AdSense,0
Apache Tomcat,4
Grafana,5
Amazon RDS,0
MariaDB,1
Selenium,15
Gradle,9
Debian,1
PhpStorm,0
Flutter,2
gulp,3
Amazon Route 53,0
Microsoft IIS,0
Amazon EC2 Container Service,0
Sentry,0
WebStorm,0
Kotlin,6
Socket.IO,0
CentOS,2
Travis CI,1
Google Compute Engine,0
Amazon CloudWatch,0
AWS Elastic Load Balancing (ELB),0
Material Design for Angular,0
CircleCI,1
Electron,12
Logstash,2
Vagrant,0
SourceTree,0
Twilio,0
OpenSSL,0
Ionic,1
Scala,79
Objective-C,3
Google App Engine,0
Twilio SendGrid,0
Shopify,0
Asana,0
Varnish,0
Datadog,3
HubSpot,0
Amazon SES,0
InVision,0
Drupal,4
WooCommerce,0
Grunt,0
Symfony,1
Animate.css ,0
Memcached,1
Zendesk,0
Mailgun,0
Bower,1
RequireJS,0
Backbone.js,1
Slick,0
Handlebars.js,0
Intercom,0
Mixpanel,0
Xamarin,1
.NET CORE,20
Hadoop,4
Cassandra,7
Oracle,28
Angular,59
Perl,21
SQL,102
MatLab,2
Groovy,4
NoSQL,25
