Term,Frequency
JavaScript,395
GitHub,65
Python,393
Git,470
Node.js,105
Docker,165
React,333
Visual Studio Code,3
jQuery,42
HTML5,243
PHP,81
Java,474
Slack,14
MySQL,92
Google Analytics,3
NGINX,7
Gmail,2
npm,13
PostgreSQL,73
MongoDB,45
Postman,18
WordPress,13
Google Drive,0
TypeScript,149
Ubuntu,7
ES6,10
Stack Overflow,0
GitLab,41
Jenkins,72
Jira,79
AngularJS,22
Redis,48
CloudFlare,1
Kubernetes,180
Apache HTTP Server,1
Google Fonts,0
C#,212
Amazon S3,1
Vue.js,21
CSS 3,255
Amazon EC2,1
Trello,2
Visual Studio,24
Google Tag Manager,2
Font Awesome,0
Bitbucket,24
IntelliJ IDEA,0
Sass,19
Firebase,5
Django,41
Webpack,19
Google Maps,0
Sublime Text,1
Elasticsearch,35
React Native,39
jQuery UI,0
Ruby,102
GraphQL,53
VirtualBox,0
G Suite,5
ExpressJS,170
Redux,36
Laravel,15
Vim,1
Heroku,5
Android SDK,3
PyCharm,0
Spring Boot,45
Dropbox,12
Android Studio,0
Confluence,24
Kafka,60
AWS Lambda,16
Microsoft Azure,19
RabbitMQ,11
Mailchimp,0
ASP.NET,77
Kibana,9
Markdown,0
Docker Compose,0
Rails,54
ESLint,0
Flask,19
Notepad++,0
Amazon CloudFront,0
Ansible,54
Atom,6
Google Cloud Platform,16
New Relic,6
Xcode,2
PayPal,0
Modernizr,0
DigitalOcean,0
Yarn,3
GitHub Pages,0
Microsoft SQL Server,24
Babel,6
Swift,31
Terraform,79
SQLite,1
Skype,1
Stripe,7
Google AdSense,0
Apache Tomcat,11
Grafana,12
Amazon RDS,3
MariaDB,3
Selenium,25
Gradle,2
Debian,1
PhpStorm,0
Flutter,7
gulp,2
Amazon Route 53,0
Microsoft IIS,0
Amazon EC2 Container Service,0
Sentry,1
WebStorm,0
Kotlin,38
Socket.IO,0
CentOS,2
Travis CI,0
Google Compute Engine,0
Amazon CloudWatch,0
AWS Elastic Load Balancing (ELB),0
Material Design for Angular,0
CircleCI,4
Electron,39
Logstash,9
Vagrant,4
SourceTree,0
Twilio,46
OpenSSL,1
Ionic,3
Scala,360
Objective-C,7
Google App Engine,0
Twilio SendGrid,1
Shopify,3
Asana,0
Varnish,2
Datadog,9
HubSpot,0
Amazon SES,0
InVision,1
Drupal,18
WooCommerce,1
Grunt,7
Symfony,3
Animate.css ,0
Memcached,3
Zendesk,1
Mailgun,0
Bower,16
RequireJS,0
Backbone.js,2
Slick,0
Handlebars.js,0
Intercom,2
Mixpanel,2
Xamarin,9
.NET CORE,66
Hadoop,20
Cassandra,12
Oracle,106
Angular,195
Perl,28
SQL,384
MatLab,7
Groovy,9
NoSQL,73
